openfema_policy_id,match_key,match_type,match_precision,num_matches
146145db-e6b0-4105-9559-2c2249eb928c,(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203081)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28465)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,864
c77e5d4c-1470-4381-bb77-f8c42ab758a8,(match_latitude==35.0)&(match_longitude==-80.8)&(match_censusBlockGroupFips==371790210081)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28173)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,1012
241ae7f8-94f7-49d6-bb8d-c3f2fafe35c9,(match_latitude==34.7)&(match_longitude==-76.7)&(match_censusBlockGroupFips==370319711032)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28512)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,677
69b8cf58-e1f7-44d8-a087-3f8a5e2daf5a,(match_latitude==35.9)&(match_longitude==-77.8)&(match_censusBlockGroupFips==371270112011)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==27878)&(match_simplifiedOccupancyType==residential_two_to_four_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,17
3e45af25-c6d8-4663-8a0a-911b60ac00b6,(match_latitude==36.0)&(match_longitude==-75.7)&(match_censusBlockGroupFips==370559702003)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==27948)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,81
70508dcb-0cf5-4e58-89db-780e85907474,(match_latitude==35.5)&(match_longitude==-77.1)&(match_censusBlockGroupFips==370139303002)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==27889)&(match_simplifiedOccupancyType==non_residential),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,57
94a9c087-66ef-4cbf-8380-5426520cbecb,(match_latitude==34.4)&(match_longitude==-77.6)&(match_censusBlockGroupFips==371419201011)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28445)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,497
15893324-c311-4c98-811c-ee76c9710119,(match_latitude==36.3)&(match_longitude==-81.8)&(match_censusBlockGroupFips==371899202003)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28692)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,4
f04d4001-6066-4559-ba24-7bd35ebab999,(match_latitude==36.4)&(match_longitude==-76.0)&(match_censusBlockGroupFips==370531103012)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==27929)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,190
6d80c80c-760f-43f7-826d-c87d64b60c2c,(match_latitude==34.7)&(match_longitude==-76.9)&(match_censusBlockGroupFips==370319710031)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28512)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,157
7a0182b5-cdfe-4e94-b3ea-446112ea90a7,(match_latitude==35.9)&(match_longitude==-76.4)&(match_censusBlockGroupFips==371879501002)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==27928)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,64
27ceb3de-e5c1-44fc-9c6d-3d742e32de76,(match_latitude==36.1)&(match_longitude==-80.3)&(match_censusBlockGroupFips==370670039031)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==27104)&(match_simplifiedOccupancyType==residential_other),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,6
1a49dff3-5901-4046-9acb-aeac2512cb7c,(match_latitude==35.3)&(match_longitude==-80.7)&(match_censusBlockGroupFips==371190015051)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28213)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,378
