match_key,nsi_fd_id
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542462752
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542462762
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542462772
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542462780
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542466066
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542466072
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542466080
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542466088
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542466750
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542467158
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542468746
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542468752
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542468755
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542468759
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542575763
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542576868
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542576870
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542576878
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542576940
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542595269
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542595270
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542595271
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542595274
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542640140
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542640141
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542640142
(match_latitude==33.9)&(match_longitude==-78.2)&(match_censusBlockGroupFips==370190203113)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28422)&(match_simplifiedOccupancyType==residential_single_family),542640143
